TICKER,SECTOR
ATVI,COMM_SERV
GOOGL,COMM_SERV
GOOG,COMM_SERV
T,COMM_SERV
CHTR,COMM_SERV
CMCSA,COMM_SERV
DISH,COMM_SERV
EA,COMM_SERV
FOXA,COMM_SERV
IPG,COMM_SERV
LBRDK,COMM_SERV
LSXMA,COMM_SERV
LSXMK,COMM_SERV
FWONK,COMM_SERV
LYV,COMM_SERV
LUMN,COMM_SERV
MTCH,COMM_SERV
META,COMM_SERV
NFLX,COMM_SERV
NWSA,COMM_SERV
OMC,COMM_SERV
PARA,COMM_SERV
PINS,COMM_SERV
RBLX,COMM_SERV
ROKU,COMM_SERV
SIRI,COMM_SERV
SNAP,COMM_SERV
TMUS,COMM_SERV
TTWO,COMM_SERV
TTD,COMM_SERV
VZ,COMM_SERV
DIS,COMM_SERV
WBD,COMM_SERV
ZI,COMM_SERV
AAP,CONSUMER_DISC
ABNB,CONSUMER_DISC
AMZN,CONSUMER_DISC
ARMK,CONSUMER_DISC
AZO,CONSUMER_DISC
BBWI,CONSUMER_DISC
BBY,CONSUMER_DISC
BKNG,CONSUMER_DISC
BWA,CONSUMER_DISC
BURL,CONSUMER_DISC
CZR,CONSUMER_DISC
KMX,CONSUMER_DISC
CCL,CONSUMER_DISC
CHWY,CONSUMER_DISC
CMG,CONSUMER_DISC
DRI,CONSUMER_DISC
DG,CONSUMER_DISC
DLTR,CONSUMER_DISC
DPZ,CONSUMER_DISC
DASH,CONSUMER_DISC
DHI,CONSUMER_DISC
EBAY,CONSUMER_DISC
ETSY,CONSUMER_DISC
EXPE,CONSUMER_DISC
F,CONSUMER_DISC
GM,CONSUMER_DISC
GPC,CONSUMER_DISC
HAS,CONSUMER_DISC
HLT,CONSUMER_DISC
HD,CONSUMER_DISC
LVS,CONSUMER_DISC
LEA,CONSUMER_DISC
LEN,CONSUMER_DISC
LKQ,CONSUMER_DISC
LOW,CONSUMER_DISC
LCID,CONSUMER_DISC
MAR,CONSUMER_DISC
MCD,CONSUMER_DISC
MGM,CONSUMER_DISC
MHK,CONSUMER_DISC
NWL,CONSUMER_DISC
NKE,CONSUMER_DISC
NVR,CONSUMER_DISC
ORLY,CONSUMER_DISC
POOL,CONSUMER_DISC
PHM,CONSUMER_DISC
RIVN,CONSUMER_DISC
ROST,CONSUMER_DISC
RCL,CONSUMER_DISC
SBUX,CONSUMER_DISC
TGT,CONSUMER_DISC
TSLA,CONSUMER_DISC
TJX,CONSUMER_DISC
TSCO,CONSUMER_DISC
ULTA,CONSUMER_DISC
MTN,CONSUMER_DISC
VFC,CONSUMER_DISC
WHR,CONSUMER_DISC
WYNN,CONSUMER_DISC
YUM,CONSUMER_DISC
MO,CONSUMER_ST
ADM,CONSUMER_ST
BF,CONSUMER_ST
BG,CONSUMER_ST
CPB,CONSUMER_ST
CHD,CONSUMER_ST
CLX,CONSUMER_ST
KO,CONSUMER_ST
CL,CONSUMER_ST
CAG,CONSUMER_ST
STZ,CONSUMER_ST
COST,CONSUMER_ST
DAR,CONSUMER_ST
EL,CONSUMER_ST
GIS,CONSUMER_ST
HSY,CONSUMER_ST
HRL,CONSUMER_ST
SJM,CONSUMER_ST
K,CONSUMER_ST
KDP,CONSUMER_ST
KMB,CONSUMER_ST
KHC,CONSUMER_ST
KR,CONSUMER_ST
LW,CONSUMER_ST
MKC,CONSUMER_ST
TAP,CONSUMER_ST
MDLZ,CONSUMER_ST
MNST,CONSUMER_ST
PEP,CONSUMER_ST
PM,CONSUMER_ST
PG,CONSUMER_ST
SYY,CONSUMER_ST
TSN,CONSUMER_ST
WBA,CONSUMER_ST
WMT,CONSUMER_ST
APA,ENERGY
BKR,ENERGY
LNG,ENERGY
CHK,ENERGY
CVX,ENERGY
COP,ENERGY
CTRA,ENERGY
DVN,ENERGY
FANG,ENERGY
EOG,ENERGY
EQT,ENERGY
XOM,ENERGY
HAL,ENERGY
HES,ENERGY
DINO,ENERGY
KMI,ENERGY
MRO,ENERGY
MPC,ENERGY
OXY,ENERGY
OKE,ENERGY
OVV,ENERGY
PSX,ENERGY
PXD,ENERGY
SLB,ENERGY
TRGP,ENERGY
TPL,ENERGY
VLO,ENERGY
WMB,ENERGY
AFL,FIN
ALL,FIN
ALLY,FIN
AXP,FIN
AFG,FIN
AIG,FIN
AMP,FIN
NLY,FIN
AON,FIN
APO,FIN
ARES,FIN
AJG,FIN
AIZ,FIN
BAC,FIN
BK,FIN
BRK,FIN
BLK,FIN
BX,FIN
BRO,FIN
COF,FIN
CG,FIN
CBOE,FIN
CINF,FIN
C,FIN
CFG,FIN
CME,FIN
COIN,FIN
DFS,FIN
EQH,FIN
ERIE,FIN
FDS,FIN
FNF,FIN
FITB,FIN
FCNCA,FIN
FHN,FIN
FRC,FIN
BEN,FIN
GL,FIN
GS,FIN
HIG,FIN
HBAN,FIN
ICE,FIN
IVZ,FIN
JPM,FIN
KEY,FIN
KKR,FIN
LNC,FIN
L,FIN
LPLA,FIN
MTB,FIN
MKL,FIN
MKTX,FIN
MMC,FIN
MET,FIN
MCO,FIN
MS,FIN
MSCI,FIN
NDAQ,FIN
NTRS,FIN
PNC,FIN
PFG,FIN
PGR,FIN
PRU,FIN
RJF,FIN
RF,FIN
SPGI,FIN
SCHW,FIN
SEIC,FIN
SBNY,FIN
STT,FIN
SIVB,FIN
SYF,FIN
TROW,FIN
TW,FIN
TRV,FIN
TFC,FIN
